geography,metric,sector
Albania,nonres_a0_lin,Commercial
Albania,nonres_a0_lin,Industrial
Albania,nonres_a1_lin,Commercial
Albania,nonres_a1_lin,Industrial
Albania,nonres_t0_lin,Commercial
Albania,nonres_t0_lin,Industrial
Albania,res_a0_lin,Residential
Albania,res_a1_lin,Residential
Albania,res_t0_lin,Residential
Algeria,nonres_a0_lin,Commercial
Algeria,nonres_a0_lin,Industrial
Algeria,nonres_a0_lin,Transportation
Algeria,nonres_a1_lin,Commercial
Algeria,nonres_a1_lin,Industrial
Algeria,nonres_a1_lin,Transportation
Algeria,nonres_t0_lin,Commercial
Algeria,nonres_t0_lin,Industrial
Algeria,nonres_t0_lin,Transportation
Algeria,res_a0_lin,Residential
Algeria,res_a1_lin,Residential
Algeria,res_t0_lin,Residential
Angola,nonres_a0_exp,Commercial
Angola,nonres_a0_exp,Transportation
Angola,nonres_a0_lin,Commercial
Angola,nonres_a0_lin,Industrial
Angola,nonres_a0_lin,Transportation
Angola,nonres_a1_exp,Commercial
Angola,nonres_a1_exp,Transportation
Angola,nonres_a1_lin,Commercial
Angola,nonres_a1_lin,Industrial
Angola,nonres_a1_lin,Transportation
Angola,nonres_t0_exp,Commercial
Angola,nonres_t0_exp,Transportation
Angola,nonres_t0_lin,Commercial
Angola,nonres_t0_lin,Industrial
Angola,nonres_t0_lin,Transportation
Angola,res_a0_lin,Residential
Angola,res_a1_lin,Residential
Angola,res_t0_lin,Residential
Argentina,nonres_a0_lin,Commercial
Argentina,nonres_a0_lin,Industrial
Argentina,nonres_a0_lin,Transportation
Argentina,nonres_a1_lin,Commercial
Argentina,nonres_a1_lin,Industrial
Argentina,nonres_a1_lin,Transportation
Argentina,nonres_t0_lin,Commercial
Argentina,nonres_t0_lin,Industrial
Argentina,nonres_t0_lin,Transportation
Argentina,res_a0_lin,Residential
Argentina,res_a1_lin,Residential
Argentina,res_t0_lin,Residential
Armenia,nonres_a0_lin,Commercial
Armenia,nonres_a0_lin,Industrial
Armenia,nonres_a0_lin,Transportation
Armenia,nonres_a1_lin,Commercial
Armenia,nonres_a1_lin,Industrial
Armenia,nonres_a1_lin,Transportation
Armenia,nonres_t0_lin,Commercial
Armenia,nonres_t0_lin,Industrial
Armenia,nonres_t0_lin,Transportation
Armenia,res_a0_lin,Residential
Armenia,res_a1_lin,Residential
Armenia,res_t0_lin,Residential
Australia,nonres_a0_lin,Commercial
Australia,nonres_a0_lin,Industrial
Australia,nonres_a1_lin,Commercial
Australia,nonres_a1_lin,Industrial
Australia,nonres_t0_lin,Commercial
Australia,nonres_t0_lin,Industrial
Australia,res_a0_lin,Residential
Australia,res_a1_lin,Residential
Australia,res_t0_lin,Residential
Austria,nonres_a0_lin,Commercial
Austria,nonres_a0_lin,Industrial
Austria,nonres_a0_lin,Transportation
Austria,nonres_a1_lin,Commercial
Austria,nonres_a1_lin,Industrial
Austria,nonres_a1_lin,Transportation
Austria,nonres_t0_lin,Commercial
Austria,nonres_t0_lin,Industrial
Austria,nonres_t0_lin,Transportation
Austria,res_a0_lin,Residential
Austria,res_a1_lin,Residential
Austria,res_t0_lin,Residential
Azerbaijan,nonres_a0_lin,Commercial
Azerbaijan,nonres_a0_lin,Industrial
Azerbaijan,nonres_a0_lin,Transportation
Azerbaijan,nonres_a1_lin,Commercial
Azerbaijan,nonres_a1_lin,Industrial
Azerbaijan,nonres_a1_lin,Transportation
Azerbaijan,nonres_t0_lin,Commercial
Azerbaijan,nonres_t0_lin,Industrial
Azerbaijan,nonres_t0_lin,Transportation
Azerbaijan,res_a0_lin,Residential
Azerbaijan,res_a1_lin,Residential
Azerbaijan,res_t0_lin,Residential
Bahrain,nonres_a0_exp,Transportation
Bahrain,nonres_a0_lin,Commercial
Bahrain,nonres_a0_lin,Industrial
Bahrain,nonres_a0_lin,Transportation
Bahrain,nonres_a1_exp,Transportation
Bahrain,nonres_a1_lin,Commercial
Bahrain,nonres_a1_lin,Industrial
Bahrain,nonres_a1_lin,Transportation
Bahrain,nonres_t0_exp,Transportation
Bahrain,nonres_t0_lin,Commercial
Bahrain,nonres_t0_lin,Industrial
Bahrain,nonres_t0_lin,Transportation
Bahrain,res_a0_lin,Residential
Bahrain,res_a1_lin,Residential
Bahrain,res_t0_lin,Residential
Bangladesh,nonres_a0_exp,Transportation
Bangladesh,nonres_a0_lin,Commercial
Bangladesh,nonres_a0_lin,Industrial
Bangladesh,nonres_a1_exp,Transportation
Bangladesh,nonres_a1_lin,Commercial
Bangladesh,nonres_a1_lin,Industrial
Bangladesh,nonres_t0_exp,Transportation
Bangladesh,nonres_t0_lin,Commercial
Bangladesh,nonres_t0_lin,Industrial
Bangladesh,res_a0_exp,Residential
Bangladesh,res_a1_exp,Residential
Bangladesh,res_t0_exp,Residential
Belarus,nonres_a0_lin,Commercial
Belarus,nonres_a0_lin,Industrial
Belarus,nonres_a0_lin,Transportation
Belarus,nonres_a1_lin,Commercial
Belarus,nonres_a1_lin,Industrial
Belarus,nonres_a1_lin,Transportation
Belarus,nonres_t0_lin,Commercial
Belarus,nonres_t0_lin,Industrial
Belarus,nonres_t0_lin,Transportation
Belarus,res_a0_lin,Residential
Belarus,res_a1_lin,Residential
Belarus,res_t0_lin,Residential
Belgium,nonres_a0_lin,Commercial
Belgium,nonres_a0_lin,Industrial
Belgium,nonres_a1_lin,Commercial
Belgium,nonres_a1_lin,Industrial
Belgium,nonres_t0_lin,Commercial
Belgium,nonres_t0_lin,Industrial
Belgium,res_a0_lin,Residential
Belgium,res_a1_lin,Residential
Belgium,res_t0_lin,Residential
Benin,nonres_a0_exp,Transportation
Benin,nonres_a0_lin,Commercial
Benin,nonres_a0_lin,Industrial
Benin,nonres_a0_lin,Transportation
Benin,nonres_a1_exp,Transportation
Benin,nonres_a1_lin,Commercial
Benin,nonres_a1_lin,Industrial
Benin,nonres_a1_lin,Transportation
Benin,nonres_t0_exp,Transportation
Benin,nonres_t0_lin,Commercial
Benin,nonres_t0_lin,Industrial
Benin,nonres_t0_lin,Transportation
Benin,res_a0_lin,Residential
Benin,res_a1_lin,Residential
Benin,res_t0_lin,Residential
Bolivia,nonres_a0_exp,Transportation
Bolivia,nonres_a0_lin,Commercial
Bolivia,nonres_a0_lin,Industrial
Bolivia,nonres_a1_exp,Transportation
Bolivia,nonres_a1_lin,Commercial
Bolivia,nonres_a1_lin,Industrial
Bolivia,nonres_t0_exp,Transportation
Bolivia,nonres_t0_lin,Commercial
Bolivia,nonres_t0_lin,Industrial
Bolivia,res_a0_lin,Residential
Bolivia,res_a1_lin,Residential
Bolivia,res_t0_lin,Residential
Bosnia and Herzegovina,nonres_a0_lin,Commercial
Bosnia and Herzegovina,nonres_a0_lin,Industrial
Bosnia and Herzegovina,nonres_a0_lin,Transportation
Bosnia and Herzegovina,nonres_a1_lin,Commercial
Bosnia and Herzegovina,nonres_a1_lin,Industrial
Bosnia and Herzegovina,nonres_a1_lin,Transportation
Bosnia and Herzegovina,nonres_t0_lin,Commercial
Bosnia and Herzegovina,nonres_t0_lin,Industrial
Bosnia and Herzegovina,nonres_t0_lin,Transportation
Bosnia and Herzegovina,res_a0_lin,Residential
Bosnia and Herzegovina,res_a1_lin,Residential
Bosnia and Herzegovina,res_t0_lin,Residential
Botswana,nonres_a0_exp,Transportation
Botswana,nonres_a0_lin,Commercial
Botswana,nonres_a0_lin,Industrial
Botswana,nonres_a0_lin,Transportation
Botswana,nonres_a1_exp,Transportation
Botswana,nonres_a1_lin,Commercial
Botswana,nonres_a1_lin,Industrial
Botswana,nonres_a1_lin,Transportation
Botswana,nonres_t0_exp,Transportation
Botswana,nonres_t0_lin,Commercial
Botswana,nonres_t0_lin,Industrial
Botswana,nonres_t0_lin,Transportation
Botswana,res_a0_lin,Residential
Botswana,res_a1_lin,Residential
Botswana,res_t0_lin,Residential
Brazil,nonres_a0_lin,Commercial
Brazil,nonres_a0_lin,Industrial
Brazil,nonres_a0_lin,Transportation
Brazil,nonres_a1_lin,Commercial
Brazil,nonres_a1_lin,Industrial
Brazil,nonres_a1_lin,Transportation
Brazil,nonres_t0_lin,Commercial
Brazil,nonres_t0_lin,Industrial
Brazil,nonres_t0_lin,Transportation
Brazil,res_a0_lin,Residential
Brazil,res_a1_lin,Residential
Brazil,res_t0_lin,Residential
Brunei,nonres_a0_exp,Transportation
Brunei,nonres_a0_lin,Commercial
Brunei,nonres_a0_lin,Industrial
Brunei,nonres_a0_lin,Transportation
Brunei,nonres_a1_exp,Transportation
Brunei,nonres_a1_lin,Commercial
Brunei,nonres_a1_lin,Industrial
Brunei,nonres_a1_lin,Transportation
Brunei,nonres_t0_exp,Transportation
Brunei,nonres_t0_lin,Commercial
Brunei,nonres_t0_lin,Industrial
Brunei,nonres_t0_lin,Transportation
Brunei,res_a0_lin,Residential
Brunei,res_a1_lin,Residential
Brunei,res_t0_lin,Residential
Bulgaria,nonres_a0_lin,Commercial
Bulgaria,nonres_a0_lin,Industrial
Bulgaria,nonres_a0_lin,Transportation
Bulgaria,nonres_a1_lin,Commercial
Bulgaria,nonres_a1_lin,Industrial
Bulgaria,nonres_a1_lin,Transportation
Bulgaria,nonres_t0_lin,Commercial
Bulgaria,nonres_t0_lin,Industrial
Bulgaria,nonres_t0_lin,Transportation
Bulgaria,res_a0_lin,Residential
Bulgaria,res_a1_lin,Residential
Bulgaria,res_t0_lin,Residential
Burkina Faso,nonres_a0_exp,Transportation
Burkina Faso,nonres_a0_lin,Commercial
Burkina Faso,nonres_a0_lin,Industrial
Burkina Faso,nonres_a0_lin,Transportation
Burkina Faso,nonres_a1_exp,Transportation
Burkina Faso,nonres_a1_lin,Commercial
Burkina Faso,nonres_a1_lin,Industrial
Burkina Faso,nonres_a1_lin,Transportation
Burkina Faso,nonres_t0_exp,Transportation
Burkina Faso,nonres_t0_lin,Commercial
Burkina Faso,nonres_t0_lin,Industrial
Burkina Faso,nonres_t0_lin,Transportation
Burkina Faso,res_a0_lin,Residential
Burkina Faso,res_a1_lin,Residential
Burkina Faso,res_t0_lin,Residential
Cambodia,nonres_a0_exp,Industrial
Cambodia,nonres_a0_exp,Transportation
Cambodia,nonres_a0_lin,Commercial
Cambodia,nonres_a0_lin,Transportation
Cambodia,nonres_a1_exp,Industrial
Cambodia,nonres_a1_exp,Transportation
Cambodia,nonres_a1_lin,Commercial
Cambodia,nonres_a1_lin,Transportation
Cambodia,nonres_t0_exp,Industrial
Cambodia,nonres_t0_exp,Transportation
Cambodia,nonres_t0_lin,Commercial
Cambodia,nonres_t0_lin,Transportation
Cambodia,res_a0_exp,Residential
Cambodia,res_a1_exp,Residential
Cambodia,res_t0_exp,Residential
Cameroon,nonres_a0_exp,Transportation
Cameroon,nonres_a0_lin,Commercial
Cameroon,nonres_a0_lin,Industrial
Cameroon,nonres_a0_lin,Transportation
Cameroon,nonres_a1_exp,Transportation
Cameroon,nonres_a1_lin,Commercial
Cameroon,nonres_a1_lin,Industrial
Cameroon,nonres_a1_lin,Transportation
Cameroon,nonres_t0_exp,Transportation
Cameroon,nonres_t0_lin,Commercial
Cameroon,nonres_t0_lin,Industrial
Cameroon,nonres_t0_lin,Transportation
Cameroon,res_a0_lin,Residential
Cameroon,res_a1_lin,Residential
Cameroon,res_t0_lin,Residential
Canada,nonres_a0_lin,Commercial
Canada,nonres_a0_lin,Industrial
Canada,nonres_a0_lin,Transportation
Canada,nonres_a1_lin,Commercial
Canada,nonres_a1_lin,Industrial
Canada,nonres_a1_lin,Transportation
Canada,nonres_t0_lin,Commercial
Canada,nonres_t0_lin,Industrial
Canada,nonres_t0_lin,Transportation
Canada,res_a0_lin,Residential
Canada,res_a1_lin,Residential
Canada,res_t0_lin,Residential
Chad,nonres_a0_exp,Transportation
Chad,nonres_a0_lin,Commercial
Chad,nonres_a0_lin,Industrial
Chad,nonres_a0_lin,Transportation
Chad,nonres_a1_exp,Transportation
Chad,nonres_a1_lin,Commercial
Chad,nonres_a1_lin,Industrial
Chad,nonres_a1_lin,Transportation
Chad,nonres_t0_exp,Transportation
Chad,nonres_t0_lin,Commercial
Chad,nonres_t0_lin,Industrial
Chad,nonres_t0_lin,Transportation
Chad,res_a0_lin,Residential
Chad,res_a1_lin,Residential
Chad,res_t0_lin,Residential
Chile,nonres_a0_lin,Commercial
Chile,nonres_a0_lin,Industrial
Chile,nonres_a1_lin,Commercial
Chile,nonres_a1_lin,Industrial
Chile,nonres_t0_lin,Commercial
Chile,nonres_t0_lin,Industrial
Chile,res_a0_lin,Residential
Chile,res_a1_lin,Residential
Chile,res_t0_lin,Residential
China,nonres_a0_lin,Commercial
China,nonres_a0_lin,Industrial
China,nonres_a1_lin,Commercial
China,nonres_a1_lin,Industrial
China,nonres_t0_lin,Commercial
China,nonres_t0_lin,Industrial
China,res_a0_lin,Residential
China,res_a1_lin,Residential
China,res_t0_lin,Residential
Colombia,nonres_a0_lin,Commercial
Colombia,nonres_a0_lin,Industrial
Colombia,nonres_a1_lin,Commercial
Colombia,nonres_a1_lin,Industrial
Colombia,nonres_t0_lin,Commercial
Colombia,nonres_t0_lin,Industrial
Colombia,res_a0_lin,Residential
Colombia,res_a1_lin,Residential
Colombia,res_t0_lin,Residential
Congo,nonres_a0_lin,Commercial
Congo,nonres_a0_lin,Industrial
Congo,nonres_a0_lin,Transportation
Congo,nonres_a1_lin,Commercial
Congo,nonres_a1_lin,Industrial
Congo,nonres_a1_lin,Transportation
Congo,nonres_t0_lin,Commercial
Congo,nonres_t0_lin,Industrial
Congo,nonres_t0_lin,Transportation
Congo,res_a0_lin,Residential
Congo,res_a1_lin,Residential
Congo,res_t0_lin,Residential
Costa Rica,nonres_a0_lin,Commercial
Costa Rica,nonres_a0_lin,Industrial
Costa Rica,nonres_a0_lin,Transportation
Costa Rica,nonres_a1_lin,Commercial
Costa Rica,nonres_a1_lin,Industrial
Costa Rica,nonres_a1_lin,Transportation
Costa Rica,nonres_t0_lin,Commercial
Costa Rica,nonres_t0_lin,Industrial
Costa Rica,nonres_t0_lin,Transportation
Costa Rica,res_a0_lin,Residential
Costa Rica,res_a1_lin,Residential
Costa Rica,res_t0_lin,Residential
Croatia,nonres_a0_lin,Commercial
Croatia,nonres_a0_lin,Industrial
Croatia,nonres_a1_lin,Commercial
Croatia,nonres_a1_lin,Industrial
Croatia,nonres_t0_lin,Commercial
Croatia,nonres_t0_lin,Industrial
Croatia,res_a0_lin,Residential
Croatia,res_a1_lin,Residential
Croatia,res_t0_lin,Residential
Cuba,nonres_a0_lin,Commercial
Cuba,nonres_a0_lin,Industrial
Cuba,nonres_a0_lin,Transportation
Cuba,nonres_a1_lin,Commercial
Cuba,nonres_a1_lin,Industrial
Cuba,nonres_a1_lin,Transportation
Cuba,nonres_t0_lin,Commercial
Cuba,nonres_t0_lin,Industrial
Cuba,nonres_t0_lin,Transportation
Cuba,res_a0_lin,Residential
Cuba,res_a1_lin,Residential
Cuba,res_t0_lin,Residential
Cyprus,nonres_a0_lin,Commercial
Cyprus,nonres_a0_lin,Industrial
Cyprus,nonres_a0_lin,Transportation
Cyprus,nonres_a1_lin,Commercial
Cyprus,nonres_a1_lin,Industrial
Cyprus,nonres_a1_lin,Transportation
Cyprus,nonres_t0_lin,Commercial
Cyprus,nonres_t0_lin,Industrial
Cyprus,nonres_t0_lin,Transportation
Cyprus,res_a0_lin,Residential
Cyprus,res_a1_lin,Residential
Cyprus,res_t0_lin,Residential
Czech Republic,nonres_a0_lin,Commercial
Czech Republic,nonres_a0_lin,Industrial
Czech Republic,nonres_a0_lin,Transportation
Czech Republic,nonres_a1_lin,Commercial
Czech Republic,nonres_a1_lin,Industrial
Czech Republic,nonres_a1_lin,Transportation
Czech Republic,nonres_t0_lin,Commercial
Czech Republic,nonres_t0_lin,Industrial
Czech Republic,nonres_t0_lin,Transportation
Czech Republic,res_a0_lin,Residential
Czech Republic,res_a1_lin,Residential
Czech Republic,res_t0_lin,Residential
Denmark,nonres_a0_lin,Commercial
Denmark,nonres_a0_lin,Industrial
Denmark,nonres_a1_lin,Commercial
Denmark,nonres_a1_lin,Industrial
Denmark,nonres_t0_lin,Commercial
Denmark,nonres_t0_lin,Industrial
Denmark,res_a0_lin,Residential
Denmark,res_a1_lin,Residential
Denmark,res_t0_lin,Residential
Dominican Republic,nonres_a0_lin,Commercial
Dominican Republic,nonres_a0_lin,Industrial
Dominican Republic,nonres_a0_lin,Transportation
Dominican Republic,nonres_a1_lin,Commercial
Dominican Republic,nonres_a1_lin,Industrial
Dominican Republic,nonres_a1_lin,Transportation
Dominican Republic,nonres_t0_lin,Commercial
Dominican Republic,nonres_t0_lin,Industrial
Dominican Republic,nonres_t0_lin,Transportation
Dominican Republic,res_a0_lin,Residential
Dominican Republic,res_a1_lin,Residential
Dominican Republic,res_t0_lin,Residential
Ecuador,nonres_a0_lin,Commercial
Ecuador,nonres_a0_lin,Industrial
Ecuador,nonres_a0_lin,Transportation
Ecuador,nonres_a1_lin,Commercial
Ecuador,nonres_a1_lin,Industrial
Ecuador,nonres_a1_lin,Transportation
Ecuador,nonres_t0_lin,Commercial
Ecuador,nonres_t0_lin,Industrial
Ecuador,nonres_t0_lin,Transportation
Ecuador,res_a0_lin,Residential
Ecuador,res_a1_lin,Residential
Ecuador,res_t0_lin,Residential
Egypt,nonres_a0_lin,Commercial
Egypt,nonres_a0_lin,Industrial
Egypt,nonres_a0_lin,Transportation
Egypt,nonres_a1_lin,Commercial
Egypt,nonres_a1_lin,Industrial
Egypt,nonres_a1_lin,Transportation
Egypt,nonres_t0_lin,Commercial
Egypt,nonres_t0_lin,Industrial
Egypt,nonres_t0_lin,Transportation
Egypt,res_a0_lin,Residential
Egypt,res_a1_lin,Residential
Egypt,res_t0_lin,Residential
El Salvador,nonres_a0_exp,Transportation
El Salvador,nonres_a0_lin,Commercial
El Salvador,nonres_a0_lin,Industrial
El Salvador,nonres_a1_exp,Transportation
El Salvador,nonres_a1_lin,Commercial
El Salvador,nonres_a1_lin,Industrial
El Salvador,nonres_t0_exp,Transportation
El Salvador,nonres_t0_lin,Commercial
El Salvador,nonres_t0_lin,Industrial
El Salvador,res_a0_lin,Residential
El Salvador,res_a1_lin,Residential
El Salvador,res_t0_lin,Residential
Equatorial Guinea,nonres_a0_exp,Commercial
Equatorial Guinea,nonres_a0_exp,Transportation
Equatorial Guinea,nonres_a0_lin,Industrial
Equatorial Guinea,nonres_a0_lin,Transportation
Equatorial Guinea,nonres_a1_exp,Commercial
Equatorial Guinea,nonres_a1_exp,Transportation
Equatorial Guinea,nonres_a1_lin,Industrial
Equatorial Guinea,nonres_a1_lin,Transportation
Equatorial Guinea,nonres_t0_exp,Commercial
Equatorial Guinea,nonres_t0_exp,Transportation
Equatorial Guinea,nonres_t0_lin,Industrial
Equatorial Guinea,nonres_t0_lin,Transportation
Equatorial Guinea,res_a0_exp,Residential
Equatorial Guinea,res_a1_exp,Residential
Equatorial Guinea,res_t0_exp,Residential
Eritrea,nonres_a0_exp,Transportation
Eritrea,nonres_a0_lin,Commercial
Eritrea,nonres_a0_lin,Industrial
Eritrea,nonres_a0_lin,Transportation
Eritrea,nonres_a1_exp,Transportation
Eritrea,nonres_a1_lin,Commercial
Eritrea,nonres_a1_lin,Industrial
Eritrea,nonres_a1_lin,Transportation
Eritrea,nonres_t0_exp,Transportation
Eritrea,nonres_t0_lin,Commercial
Eritrea,nonres_t0_lin,Industrial
Eritrea,nonres_t0_lin,Transportation
Eritrea,res_a0_lin,Residential
Eritrea,res_a1_lin,Residential
Eritrea,res_t0_lin,Residential
Estonia,nonres_a0_lin,Commercial
Estonia,nonres_a0_lin,Industrial
Estonia,nonres_a0_lin,Transportation
Estonia,nonres_a1_lin,Commercial
Estonia,nonres_a1_lin,Industrial
Estonia,nonres_a1_lin,Transportation
Estonia,nonres_t0_lin,Commercial
Estonia,nonres_t0_lin,Industrial
Estonia,nonres_t0_lin,Transportation
Estonia,res_a0_lin,Residential
Estonia,res_a1_lin,Residential
Estonia,res_t0_lin,Residential
Eswatini,nonres_a0_exp,Transportation
Eswatini,nonres_a0_lin,Commercial
Eswatini,nonres_a0_lin,Industrial
Eswatini,nonres_a0_lin,Transportation
Eswatini,nonres_a1_exp,Transportation
Eswatini,nonres_a1_lin,Commercial
Eswatini,nonres_a1_lin,Industrial
Eswatini,nonres_a1_lin,Transportation
Eswatini,nonres_t0_exp,Transportation
Eswatini,nonres_t0_lin,Commercial
Eswatini,nonres_t0_lin,Industrial
Eswatini,nonres_t0_lin,Transportation
Eswatini,res_a0_lin,Residential
Eswatini,res_a1_lin,Residential
Eswatini,res_t0_lin,Residential
Ethiopia,nonres_a0_lin,Commercial
Ethiopia,nonres_a0_lin,Industrial
Ethiopia,nonres_a0_lin,Transportation
Ethiopia,nonres_a1_lin,Commercial
Ethiopia,nonres_a1_lin,Industrial
Ethiopia,nonres_a1_lin,Transportation
Ethiopia,nonres_t0_lin,Commercial
Ethiopia,nonres_t0_lin,Industrial
Ethiopia,nonres_t0_lin,Transportation
Ethiopia,res_a0_lin,Residential
Ethiopia,res_a1_lin,Residential
Ethiopia,res_t0_lin,Residential
Finland,nonres_a0_lin,Commercial
Finland,nonres_a0_lin,Industrial
Finland,nonres_a1_lin,Commercial
Finland,nonres_a1_lin,Industrial
Finland,nonres_t0_lin,Commercial
Finland,nonres_t0_lin,Industrial
Finland,res_a0_lin,Residential
Finland,res_a1_lin,Residential
Finland,res_t0_lin,Residential
France,nonres_a0_lin,Commercial
France,nonres_a0_lin,Industrial
France,nonres_a1_lin,Commercial
France,nonres_a1_lin,Industrial
France,nonres_t0_lin,Commercial
France,nonres_t0_lin,Industrial
France,res_a0_lin,Residential
France,res_a1_lin,Residential
France,res_t0_lin,Residential
Gabon,nonres_a0_lin,Commercial
Gabon,nonres_a0_lin,Industrial
Gabon,nonres_a0_lin,Transportation
Gabon,nonres_a1_lin,Commercial
Gabon,nonres_a1_lin,Industrial
Gabon,nonres_a1_lin,Transportation
Gabon,nonres_t0_lin,Commercial
Gabon,nonres_t0_lin,Industrial
Gabon,nonres_t0_lin,Transportation
Gabon,res_a0_lin,Residential
Gabon,res_a1_lin,Residential
Gabon,res_t0_lin,Residential
Georgia,nonres_a0_lin,Commercial
Georgia,nonres_a0_lin,Industrial
Georgia,nonres_a0_lin,Transportation
Georgia,nonres_a1_lin,Commercial
Georgia,nonres_a1_lin,Industrial
Georgia,nonres_a1_lin,Transportation
Georgia,nonres_t0_lin,Commercial
Georgia,nonres_t0_lin,Industrial
Georgia,nonres_t0_lin,Transportation
Georgia,res_a0_lin,Residential
Georgia,res_a1_lin,Residential
Georgia,res_t0_lin,Residential
Germany,nonres_a0_lin,Commercial
Germany,nonres_a0_lin,Industrial
Germany,nonres_a1_lin,Commercial
Germany,nonres_a1_lin,Industrial
Germany,nonres_t0_lin,Commercial
Germany,nonres_t0_lin,Industrial
Germany,res_a0_lin,Residential
Germany,res_a1_lin,Residential
Germany,res_t0_lin,Residential
Ghana,nonres_a0_exp,Transportation
Ghana,nonres_a0_lin,Commercial
Ghana,nonres_a0_lin,Industrial
Ghana,nonres_a1_exp,Transportation
Ghana,nonres_a1_lin,Commercial
Ghana,nonres_a1_lin,Industrial
Ghana,nonres_t0_exp,Transportation
Ghana,nonres_t0_lin,Commercial
Ghana,nonres_t0_lin,Industrial
Ghana,res_a0_lin,Residential
Ghana,res_a1_lin,Residential
Ghana,res_t0_lin,Residential
Greece,nonres_a0_lin,Commercial
Greece,nonres_a0_lin,Industrial
Greece,nonres_a0_lin,Transportation
Greece,nonres_a1_lin,Commercial
Greece,nonres_a1_lin,Industrial
Greece,nonres_a1_lin,Transportation
Greece,nonres_t0_lin,Commercial
Greece,nonres_t0_lin,Industrial
Greece,nonres_t0_lin,Transportation
Greece,res_a0_lin,Residential
Greece,res_a1_lin,Residential
Greece,res_t0_lin,Residential
Guatemala,nonres_a0_exp,Transportation
Guatemala,nonres_a0_lin,Commercial
Guatemala,nonres_a0_lin,Industrial
Guatemala,nonres_a0_lin,Transportation
Guatemala,nonres_a1_exp,Transportation
Guatemala,nonres_a1_lin,Commercial
Guatemala,nonres_a1_lin,Industrial
Guatemala,nonres_a1_lin,Transportation
Guatemala,nonres_t0_exp,Transportation
Guatemala,nonres_t0_lin,Commercial
Guatemala,nonres_t0_lin,Industrial
Guatemala,nonres_t0_lin,Transportation
